Number of Lanes DECR MP direction 	Number of Lanes INCR MP direction	DECR car rate	INCR car rate
3	3	0.722222222	0.722222222
3	3	0.944444444	0.944444444
3	3	1.2	1.2
3	3	1.122222222	1.122222222
3	4	1.371428571	1.828571429
3	4	1.171428571	1.561904762
3	4	1.361904762	1.815873016
4	4	1.377777778	1.377777778
4	4	1.5	1.5
4	3	1.473015873	1.104761905
3	3	1.111111111	1.111111111
3	3	1.322222222	1.322222222
3	3	0.988888889	0.988888889
3	3	1.166666667	1.166666667
3	3	1.122222222	1.122222222
3	3	1.311111111	1.311111111
3	3	1.311111111	1.311111111
3	3	1.422222222	1.422222222
3	3	1.333333333	1.333333333
3	3	1.433333333	1.433333333
3	3	1.288888889	1.288888889
3	3	1.388888889	1.388888889
3	3	1.288888889	1.288888889
3	3	1.511111111	1.511111111
3	3	1.377777778	1.377777778
3	3	1.544444444	1.544444444
4	4	1.5	1.5
4	4	1.688888889	1.688888889
4	4	1.522222222	1.522222222
4	4	1.655555556	1.655555556
4	4	1.466666667	1.466666667
4	4	1.644444444	1.644444444
4	4	1.222222222	1.222222222
4	4	1.966666667	1.966666667
4	4	1.877777778	1.877777778
4	4	1.788888889	1.788888889
4	4	2.211111111	2.211111111
4	4	2	2
4	4	2.188888889	2.188888889
4	3	1.701587302	1.276190476
4	3	2.082539683	1.561904762
4	3	2.158730159	1.619047619
4	3	2.857142857	2.142857143
4	3	2.653968254	1.99047619
4	3	2.273015873	1.704761905
4	4	2.277777778	2.277777778
4	4	2.144444444	2.144444444
4	4	1.888888889	1.888888889
4	4	2.111111111	2.111111111
5	5	1.522222222	1.522222222
5	5	2	2
5	5	1.788888889	1.788888889
5	5	2.133333333	2.133333333
5	5	2	2
5	5	2.255555556	2.255555556
5	5	2.355555556	2.355555556
5	5	2.388888889	2.388888889
5	5	2.166666667	2.166666667
5	5	2.488888889	2.488888889
4	3	3.034920635	2.276190476
5	4	2.12345679	1.698765432
4	4	2.122222222	2.122222222
4	4	2.144444444	2.144444444
4	4	2.088888889	2.088888889
4	4	2.288888889	2.288888889
4	4	2.144444444	2.144444444
4	4	2.622222222	2.622222222
3	3	2.066666667	2.066666667
2	3	2.115555556	3.173333333
2	3	2.151111111	3.226666667
2	3	1.324444444	1.986666667
4	4	1.377777778	1.377777778
4	4	2.044444444	2.044444444
4	4	2.3	2.3
4	4	2.144444444	2.144444444
4	4	2.122222222	2.122222222
4	4	2.433333333	2.433333333
4	4	2.333333333	2.333333333
4	4	1.744444444	1.744444444
4	4	2.111111111	2.111111111
4	4	2.288888889	2.288888889
4	4	1.922222222	1.922222222
4	4	1.9	1.9
4	4	2.1	2.1
3	3	1.766666667	1.766666667
3	3	1.911111111	1.911111111
3	3	1.722222222	1.722222222
3	3	1.966666667	1.966666667
3	3	2.077777778	2.077777778
4	4	2.366666667	2.366666667
4	4	2.2	2.2
4	4	1.922222222	1.922222222
3	3	2.155555556	2.155555556
3	3	2.144444444	2.144444444
3	3	2.155555556	2.155555556
3	3	1.922222222	1.922222222
3	3	2.088888889	2.088888889
3	3	1.8	1.8
3	3	2.033333333	2.033333333
3	3	1.844444444	1.844444444
3	3	2.166666667	2.166666667
3	3	1.9	1.9
3	3	1.755555556	1.755555556
3	3	1.566666667	1.566666667
3	3	2.177777778	2.177777778
3	3	1.8	1.8
3	3	2.066666667	2.066666667
3	3	1.688888889	1.688888889
3	3	1.977777778	1.977777778
3	3	1.922222222	1.922222222
3	3	1.433333333	1.433333333
4	4	2.188888889	2.188888889
4	3	2.057142857	1.542857143
3	4	1.780952381	2.374603175
3	4	1.657142857	2.20952381
3	3	1.433333333	1.433333333
3	3	1.722222222	1.722222222
3	3	1.488888889	1.488888889
3	3	1.688888889	1.688888889
3	3	1.344444444	1.344444444
3	3	1.511111111	1.511111111
3	3	1.244444444	1.244444444
3	3	1.355555556	1.355555556
3	3	1.066666667	1.066666667
3	3	1.2	1.2
3	3	0.822222222	0.822222222
3	3	0.988888889	0.988888889
3	3	0.822222222	0.822222222
3	3	0.922222222	0.922222222
3	3	0.866666667	0.866666667
3	3	0.911111111	0.911111111
3	3	0.677777778	0.677777778
3	3	0.711111111	0.711111111
3	3	0.666666667	0.666666667
3	3	0.688888889	0.688888889
2	3	0.115555556	0.173333333
2	2	0.488888889	0.488888889
2	2	0.255555556	0.255555556
2	2	0.255555556	0.255555556
4	4	1.344444444	1.344444444
3	3	1.466666667	1.466666667
3	3	1.466666667	1.466666667
3	3	1.455555556	1.455555556
3	3	1.377777778	1.377777778
3	3	1.677777778	1.677777778
3	3	1.8	1.8
3	3	1.111111111	1.111111111
3	3	0.833333333	0.833333333
3	3	1.622222222	1.622222222
3	3	1.122222222	1.122222222
3	3	1.444444444	1.444444444
3	3	1.311111111	1.311111111
3	3	1.422222222	1.422222222
3	3	0.955555556	0.955555556
3	3	1.077777778	1.077777778
3	3	0.766666667	0.766666667
3	3	0.7	0.7
3	3	0.788888889	0.788888889
3	3	0.766666667	0.766666667
3	3	0.766666667	0.766666667
3	3	0.644444444	0.644444444
3	3	0.7	0.7
3	3	0.833333333	0.833333333
3	3	1.222222222	1.222222222
3	3	1.877777778	1.877777778
3	3	1.955555556	1.955555556
3	3	1.733333333	1.733333333
3	3	1.877777778	1.877777778
3	3	1.033333333	1.033333333
3	3	1.688888889	1.688888889
2	2	1.911111111	1.911111111
2	2	1.444444444	1.444444444
2	2	1.533333333	1.533333333
2	2	1.7	1.7
2	2	1.477777778	1.477777778
2	2	1.644444444	1.644444444
2	2	1.6	1.6
2	2	1.711111111	1.711111111
2	2	1.611111111	1.611111111
2	2	1.688888889	1.688888889
2	2	1.677777778	1.677777778
2	2	1.788888889	1.788888889
2	2	1.633333333	1.633333333
2	2	1.966666667	1.966666667
4	4	1.133333333	1.133333333
4	4	2.166666667	2.166666667
4	3	2.247619048	1.685714286
4	3	2.438095238	1.828571429
3	3	1.566666667	1.566666667
3	3	1.755555556	1.755555556
3	3	1.444444444	1.444444444
3	3	2.055555556	2.055555556
3	3	1.9	1.9
3	3	2.055555556	2.055555556
3	3	1.788888889	1.788888889
3	3	2.144444444	2.144444444
3	3	1.866666667	1.866666667
3	3	1.466666667	1.466666667
3	3	1.822222222	1.822222222
3	3	1.688888889	1.688888889
3	3	1.244444444	1.244444444
3	3	1.377777778	1.377777778
3	3	1.288888889	1.288888889
3	3	1.188888889	1.188888889
3	3	1.422222222	1.422222222
3	3	1.011111111	1.011111111
3	3	1.322222222	1.322222222
3	3	0.555555556	0.555555556
3	3	0.388888889	0.388888889
2	2	0.533333333	0.533333333
2	2	0.877777778	0.877777778
2	2	0.5	0.5
2	2	0.677777778	0.677777778
2	2	0.755555556	0.755555556
2	2	0.677777778	0.677777778
2	2	0.855555556	0.855555556
2	2	0.688888889	0.688888889
2	2	0.855555556	0.855555556
2	2	1.211111111	1.211111111
2	2	1.055555556	1.055555556
2	2	0.755555556	0.755555556
2	2	1.011111111	1.011111111
2	2	0.866666667	0.866666667
2	2	0.411111111	0.411111111
